Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1770837985.990	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_003691345.1
2	:	1770837985.994	     0.045	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_016924585.2
3	:	1770837985.997	     0.051	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_019434115.1
4	:	1770837986.054	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_019434195.1
5	:	1770837986.060	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_021644285.3
6	:	1770837986.066	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_021644425.4
7	:	1770837986.073	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_021645445.2
8	:	1770837986.080	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_021669275.3
9	:	1770837986.087	     0.007	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_021669335.3
10	:	1770837986.094	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_022475555.3
11	:	1770837986.101	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_022916475.3
12	:	1770837986.107	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_025736955.1
13	:	1770837986.114	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_025736975.1
14	:	1770837986.121	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_028640045.5
15	:	1770837986.127	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_030366015.2
16	:	1770837986.134	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_034127025.2
17	:	1770837986.140	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_038627235.2
18	:	1770837986.146	     0.007	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_042443075.2
19	:	1770837986.153	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_046054735.3
20	:	1770837986.159	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_048593205.1
21	:	1770837986.166	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_053157655.2
22	:	1770837986.172	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_053360855.1
23	:	1770837986.178	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_054130235.1
24	:	1770837986.184	     0.007	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_003206535.1
25	:	1770837986.192	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_006364735.1
26	:	1770837986.198	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_009648875.1
27	:	1770837986.204	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_016925475.1
28	:	1770837986.211	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_019364615.1
29	:	1770837986.217	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_021460035.1
30	:	1770837986.223	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_021497425.1
31	:	1770837986.229	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_023520735.1
32	:	1770837986.236	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_027570415.1
33	:	1770837986.242	     0.005	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_027570455.1
34	:	1770837986.248	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_027570495.1
35	:	1770837986.254	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_028743595.1
36	:	1770837986.260	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_029962145.1
37	:	1770837986.266	     0.006	0	0	0	0	build_database /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_029962185.1
