Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1770837986.557	     0.022	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_003691345.1
2	:	1770837986.561	     0.067	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_016924585.2
3	:	1770837986.565	     0.065	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_019434115.1
4	:	1770837986.570	     0.060	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_019434195.1
5	:	1770837986.575	     0.055	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_021644285.3
6	:	1770837986.579	     0.052	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_021644425.4
7	:	1770837986.636	     0.025	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_021645445.2
8	:	1770837986.640	     0.027	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_021669275.3
9	:	1770837986.645	     0.029	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_021669335.3
10	:	1770837986.650	     0.024	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_022475555.3
11	:	1770837986.656	     0.024	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_022916475.3
12	:	1770837986.661	     0.023	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_025736955.1
13	:	1770837986.667	     0.024	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_025736975.1
14	:	1770837986.674	     0.023	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_028640045.5
15	:	1770837986.680	     0.024	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_030366015.2
16	:	1770837986.684	     0.022	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_034127025.2
17	:	1770837986.689	     0.021	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_038627235.2
18	:	1770837986.692	     0.023	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_042443075.2
19	:	1770837986.697	     0.022	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_046054735.3
20	:	1770837986.701	     0.022	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_048593205.1
21	:	1770837986.705	     0.023	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_053157655.2
22	:	1770837986.710	     0.022	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_053360855.1
23	:	1770837986.715	     0.021	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_054130235.1
24	:	1770837986.719	     0.020	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_003206535.1
25	:	1770837986.723	     0.021	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_006364735.1
26	:	1770837986.727	     0.022	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_009648875.1
27	:	1770837986.732	     0.020	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_016925475.1
28	:	1770837986.736	     0.021	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_019364615.1
29	:	1770837986.740	     0.022	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_021460035.1
30	:	1770837986.745	     0.022	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_021497425.1
31	:	1770837986.749	     0.021	0	0	0	0	run_analyses /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_023520735.1
