Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
36	:	1770837989.405	     3.143	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCA_003691345.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
28	:	1770837989.358	     3.404	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/a_test /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
19	:	1770837989.304	     3.581	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_037055895.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
21	:	1770837989.317	     3.601	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCA_019434195.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
38	:	1770837989.417	     3.672	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_029962145.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
42	:	1770837989.445	     3.657	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_027570495.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
41	:	1770837989.439	     3.691	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_006364735.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
48	:	1770837989.524	     3.664	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_033229485.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
3	:	1770837989.222	     4.023	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCA_053360855.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
44	:	1770837989.464	     3.881	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_028743595.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
46	:	1770837989.495	     3.877	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_016925475.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
35	:	1770837989.400	     3.978	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/b_test /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
27	:	1770837989.352	     4.059	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCA_030366015.2 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
