#                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
QJR55.RS12350__NZCP124253_2354_2672049_2673072_pos -          ADH_N                PF08240.17   6.5e-31  104.6   0.9   1.4e-30  103.5   0.9   1.6   1   0   0   1   1   1   1 -
QJR55.RS00355__NZCP124253_66_78985_80011_pos       -          ADH_N                PF08240.17   1.7e-30  103.3   1.2   4.2e-30  102.0   1.2   1.7   1   0   0   1   1   1   1 -
QJR55.RS18775__NZCP124253_3595_4051381_4052437_neg -          ADH_N                PF08240.17   3.7e-26   89.3   1.5     8e-26   88.2   1.5   1.6   1   0   0   1   1   1   1 -
QJR55.RS07160__NZCP124253_1346_1580870_1582025_neg -          ADH_N                PF08240.17   9.9e-24   81.5   2.1   9.9e-24   81.5   2.1   2.5   3   1   0   3   3   3   1 -
QJR55.RS07950__NZCP124253_1502_1756415_1757426_pos -          ADH_N                PF08240.17     5e-19   66.4   0.0   1.2e-18   65.2   0.0   1.6   1   0   0   1   1   1   1 -
QJR55.RS08400__NZCP124253_1588_1851385_1852396_neg -          ADH_N                PF08240.17   2.1e-18   64.4   0.4   6.5e-18   62.8   0.4   1.9   1   0   0   1   1   1   1 -
QJR55.RS16340__NZCP124253_3125_3541650_3542673_neg -          ADH_N                PF08240.17   4.8e-15   53.6   0.1   1.4e-14   52.2   0.0   1.8   2   0   0   2   2   2   1 -
QJR55.RS19380__NZCP124253_3713_4180050_4181034_pos -          ADH_N                PF08240.17   5.1e-15   53.5   0.1   1.2e-14   52.3   0.1   1.6   1   0   0   1   1   1   1 -
QJR55.RS03075__NZCP124253_571_675105_676107_neg    -          ADH_N                PF08240.17   9.2e-15   52.7   0.1   1.9e-14   51.7   0.1   1.5   1   0   0   1   1   1   1 -
QJR55.RS19210__NZCP124253_3679_4142054_4143032_pos -          ADH_N                PF08240.17   1.5e-12   45.6   0.0   3.9e-12   44.3   0.0   1.8   1   0   0   1   1   1   1 -
QJR55.RS20425__NZCP124253_3916_4408498_4409491_pos -          ADH_N                PF08240.17   2.2e-11   41.9   0.0   9.5e-11   39.8   0.0   2.0   2   0   0   2   2   2   1 -
QJR55.RS08015__NZCP124253_1514_1772633_1773593_pos -          ADH_N                PF08240.17   2.4e-11   41.7   0.0     6e-11   40.4   0.0   1.7   1   0   0   1   1   1   1 -
QJR55.RS04260__NZCP124253_802_963255_964506_neg    -          ADH_N                PF08240.17   9.2e-08   30.2   0.0   2.1e-07   29.1   0.0   1.6   1   0   0   1   1   1   1 -
QJR55.RS04340__NZCP124253_818_980516_982007_neg    -          ADH_N                PF08240.17     0.018   13.2   0.5      0.21    9.8   0.0   2.5   2   1   0   2   2   2   0 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/kcw2/data/example_run/path2/synteny_search_inputs/hmm_db/hmms/PF08240.HMM
# Target file:     /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_037055895.1/labelled_peptides.faa
# Option settings: hmmsearch --tblout /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_037055895.1/hmmer_outputs/hmmer_output_PF08240.txt --cpu 47 /home/kcw2/data/example_run/path2/synteny_search_inputs/hmm_db/hmms/PF08240.HMM /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_037055895.1/labelled_peptides.faa 
# Current dir:     /home/kcw2
# Date:            Tue Feb 10 16:21:24 2026
# [ok]
