contig	gene_id	gene_number	locus	strand	full_label	hmm	gene_symbol	label	product	ec_number
CP180126	ACKWEC.23795	4540	(5006400, 5007321)	neg	ACKWEC.23795__CP180126_4540_5006400_5007321_neg	PF03466|PF00126	LysR_substrate|HTH_1	LysR substrate binding domain|Bacterial regulatory helix-turn-helix protein, lysR family	PA3565|PA3565	undef|undef
CP180126	ACKWEC.23800	4541	(5007416, 5007710)	pos	ACKWEC.23800__CP180126_4541_5007416_5007710_pos	PF03992	ABM	Antibiotic biosynthesis monooxygenase	PA3566	undef
CP180126	ACKWEC.23805	4542	(5007731, 5008745)	pos	ACKWEC.23805__CP180126_4542_5007731_5008745_pos	PF08240|PF13602	ADH_N|ADH_zinc_N_2	Alcohol dehydrogenase GroES-like domain|Zinc-binding dehydrogenase	PA3567|PA3567	undef|undef
