#                                                                                              --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                       accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                               ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ACT52M.RS19905__NZCP199184_3911_4276265_4277252_pos -          ADH_zinc_N_2         PF13602.12     1e-26   92.8   0.9   1.7e-26   92.1   0.4   1.6   2   0   0   2   2   2   1 -
ACT52M.RS27745__NZCP199184_5438_5943639_5944617_pos -          ADH_zinc_N_2         PF13602.12   6.2e-25   87.1   0.0   1.1e-24   86.2   0.0   1.4   1   0   0   1   1   1   1 -
ACT52M.RS00115__NZCP199184_21_24086_25064_neg       -          ADH_zinc_N_2         PF13602.12   3.2e-19   68.6   0.0   5.2e-19   67.9   0.0   1.4   1   0   0   1   1   1   1 -
ACT52M.RS07065__NZCP199184_1392_1510825_1511839_neg -          ADH_zinc_N_2         PF13602.12     4e-19   68.2   0.3   7.5e-19   67.4   0.3   1.5   1   0   0   1   1   1   1 -
ACT52M.RS13035__NZCP199184_2554_2730789_2731809_pos -          ADH_zinc_N_2         PF13602.12   5.7e-17   61.3   0.0     9e-17   60.7   0.0   1.3   1   0   0   1   1   1   1 -
ACT52M.RS04020__NZCP199184_787_853626_854613_neg    -          ADH_zinc_N_2         PF13602.12   1.5e-15   56.7   0.0   4.4e-15   55.2   0.0   1.8   2   0   0   2   2   2   1 -
ACT52M.RS11660__NZCP199184_2287_2458215_2459190_neg -          ADH_zinc_N_2         PF13602.12   2.5e-15   56.0   0.1   3.7e-15   55.4   0.1   1.3   1   0   0   1   1   1   1 -
ACT52M.RS08600__NZCP199184_1695_1844713_1845676_pos -          ADH_zinc_N_2         PF13602.12   1.6e-14   53.4   0.1     3e-14   52.5   0.1   1.4   1   0   0   1   1   1   1 -
ACT52M.RS17285__NZCP199184_3393_3709227_3710232_pos -          ADH_zinc_N_2         PF13602.12   9.6e-14   50.8   0.0   1.9e-13   49.9   0.0   1.5   1   0   0   1   1   1   1 -
ACT52M.RS14470__NZCP199184_2840_3096356_3097394_neg -          ADH_zinc_N_2         PF13602.12   3.3e-12   45.9   0.0   5.4e-12   45.2   0.0   1.3   1   0   0   1   1   1   1 -
ACT52M.RS06750__NZCP199184_1329_1442697_1443810_pos -          ADH_zinc_N_2         PF13602.12   6.2e-08   32.0   0.0   1.1e-07   31.2   0.0   1.4   1   0   0   1   1   1   1 -
ACT52M.RS14105__NZCP199184_2767_3014036_3015098_pos -          ADH_zinc_N_2         PF13602.12     2e-06   27.2   0.0   3.8e-06   26.2   0.0   1.5   1   0   0   1   1   1   1 -
ACT52M.RS04380__NZCP199184_859_935960_937019_neg    -          ADH_zinc_N_2         PF13602.12   4.7e-05   22.7   0.1     8e-05   22.0   0.1   1.3   1   0   0   1   1   1   1 -
ACT52M.RS04090__NZCP199184_801_868729_869791_neg    -          ADH_zinc_N_2         PF13602.12   0.00019   20.8   0.0   0.00038   19.8   0.0   1.5   1   0   0   1   1   1   1 -
ACT52M.RS28755__NZCP199184_5635_6160077_6161106_pos -          ADH_zinc_N_2         PF13602.12   0.00059   19.2   0.1     0.001   18.4   0.1   1.4   1   0   0   1   1   1   1 -
ACT52M.RS14520__NZCP199184_2849_3104922_3106089_pos -          ADH_zinc_N_2         PF13602.12    0.0032   16.8   0.4      0.02   14.2   0.4   2.1   1   1   0   1   1   1   1 -
ACT52M.RS05900__NZCP199184_1159_1253059_1254010_neg -          ADH_zinc_N_2         PF13602.12     0.023   14.0   0.0       1.6    8.1   0.0   2.3   2   0   0   2   2   2   0 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/kcw2/data/example_run/path2/synteny_search_inputs/hmm_db/hmms/PF13602.HMM
# Target file:     /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_054126005.1/labelled_peptides.faa
# Option settings: hmmsearch --tblout /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_054126005.1/hmmer_outputs/hmmer_output_PF13602.txt --cpu 47 /home/kcw2/data/example_run/path2/synteny_search_inputs/hmm_db/hmms/PF13602.HMM /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCF_054126005.1/labelled_peptides.faa 
# Current dir:     /home/kcw2
# Date:            Tue Feb 10 16:21:24 2026
# [ok]
