#                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
PU787.000000460__CM130967_88_86021_87014_pos       -          ADH_zinc_N_2         PF13602.12   1.2e-27   96.0   0.2   3.7e-27   94.4   0.0   1.9   2   0   0   2   2   2   1 -
PU787.000017235__CM130967_3356_3645578_3646565_neg -          ADH_zinc_N_2         PF13602.12   1.6e-26   92.4   0.7   2.8e-26   91.6   0.3   1.6   2   0   0   2   2   2   1 -
PU787.000008210__CM130967_1605_1746116_1747094_neg -          ADH_zinc_N_2         PF13602.12   4.5e-25   87.7   0.0   8.3e-25   86.8   0.0   1.4   1   0   0   1   1   1   1 -
PU787.000006180__CM130967_1208_1300029_1301007_pos -          ADH_zinc_N_2         PF13602.12   3.6e-19   68.6   0.0   5.8e-19   67.9   0.0   1.3   1   0   0   1   1   1   1 -
PU787.000032220__CM130967_6243_6805370_6806384_pos -          ADH_zinc_N_2         PF13602.12   4.9e-19   68.1   0.2   9.2e-19   67.2   0.2   1.5   1   0   0   1   1   1   1 -
PU787.000025015__CM130967_4865_5330488_5331508_neg -          ADH_zinc_N_2         PF13602.12   6.3e-17   61.3   0.0     1e-16   60.7   0.0   1.3   1   0   0   1   1   1   1 -
PU787.000026580__CM130967_5162_5650436_5651411_pos -          ADH_zinc_N_2         PF13602.12   2.6e-15   56.1   0.1     4e-15   55.5   0.1   1.3   1   0   0   1   1   1   1 -
PU787.000002100__CM130967_412_438416_439403_pos    -          ADH_zinc_N_2         PF13602.12     3e-15   55.9   0.0   8.8e-15   54.4   0.0   1.8   2   0   0   2   2   2   1 -
PU787.000030595__CM130967_5924_6455084_6456047_neg -          ADH_zinc_N_2         PF13602.12   1.3e-14   53.8   0.0   2.6e-14   52.8   0.0   1.5   1   0   0   1   1   1   1 -
PU787.000020085__CM130967_3912_4252422_4253427_neg -          ADH_zinc_N_2         PF13602.12   1.1e-13   50.8   0.0   2.1e-13   49.9   0.0   1.5   1   0   0   1   1   1   1 -
PU787.000023520__CM130967_4577_4939367_4940405_pos -          ADH_zinc_N_2         PF13602.12   3.7e-12   45.9   0.0     6e-12   45.2   0.0   1.3   1   0   0   1   1   1   1 -
PU787.000032530__CM130967_6305_6871207_6872320_neg -          ADH_zinc_N_2         PF13602.12   6.9e-08   32.0   0.0   1.3e-07   31.2   0.0   1.4   1   0   0   1   1   1   1 -
PU787.000023945__CM130967_4658_5037403_5038465_neg -          ADH_zinc_N_2         PF13602.12   5.7e-06   25.8   0.0   1.1e-05   25.0   0.0   1.5   1   0   0   1   1   1   1 -
PU787.000001740__CM130967_340_356012_357071_pos    -          ADH_zinc_N_2         PF13602.12   5.4e-05   22.7   0.1   8.9e-05   22.0   0.1   1.3   1   0   0   1   1   1   1 -
PU787.000002030__CM130967_398_423240_424302_pos    -          ADH_zinc_N_2         PF13602.12   0.00023   20.6   0.0   0.00043   19.8   0.0   1.4   1   0   0   1   1   1   1 -
PU787.000007210__CM130967_1410_1529768_1530797_neg -          ADH_zinc_N_2         PF13602.12   0.00062   19.3   0.1    0.0011   18.5   0.1   1.4   1   0   0   1   1   1   1 -
PU787.000000170__CM130967_31_31762_32713_pos       -          ADH_zinc_N_2         PF13602.12     0.023   14.2   0.0       1.6    8.2   0.0   2.3   2   0   0   2   2   2   0 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/kcw2/data/example_run/path2/synteny_search_inputs/hmm_db/hmms/PF13602.HMM
# Target file:     /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_028640045.5/labelled_peptides.faa
# Option settings: hmmsearch --tblout /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_66_67/genomes/GCA_028640045.5/hmmer_outputs/hmmer_output_PF13602.txt --cpu 47 /home/kcw2/data/example_run/path2/synteny_search_inputs/hmm_db/hmms/PF13602.HMM /home/kcw2/data/example_run/path2/synteny_search_inputs/genome_db/GCA_028640045.5/labelled_peptides.faa 
# Current dir:     /home/kcw2
# Date:            Tue Feb 10 16:21:19 2026
# [ok]
