#                                                                                          --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                   accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                           ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ACT504.07885__CP199221_1535_1691404_1692331_neg -          LysR_substrate       PF03466.25   2.4e-61  205.2   2.3   3.9e-61  204.5   2.3   1.3   1   0   0   1   1   1   1 -
ACT504.30275__CP199221_5840_6460307_6461243_pos -          LysR_substrate       PF03466.25   1.2e-55  186.5   3.5   1.2e-55  186.5   3.5   1.4   2   0   0   2   2   1   1 -
ACT504.30000__CP199221_5785_6400673_6401564_neg -          LysR_substrate       PF03466.25   5.8e-53  177.8   4.1   9.1e-53  177.2   4.1   1.3   1   0   0   1   1   1   1 -
ACT504.05725__CP199221_1107_1217934_1218828_neg -          LysR_substrate       PF03466.25     7e-53  177.5   0.4   8.9e-53  177.2   0.4   1.1   1   0   0   1   1   1   1 -
ACT504.07060__CP199221_1373_1508167_1509055_neg -          LysR_substrate       PF03466.25   1.4e-49  166.7   3.6   1.8e-49  166.4   3.6   1.1   1   0   0   1   1   1   1 -
ACT504.27850__CP199221_5370_5940947_5941853_neg -          LysR_substrate       PF03466.25   7.5e-49  164.4   2.7     1e-48  163.9   2.7   1.2   1   0   0   1   1   1   1 -
ACT504.06880__CP199221_1337_1471739_1472648_neg -          LysR_substrate       PF03466.25   7.7e-49  164.3   1.5   7.7e-49  164.3   1.5   1.9   2   0   0   2   2   2   1 -
ACT504.09575__CP199221_1861_2028415_2029309_neg -          LysR_substrate       PF03466.25   1.8e-48  163.1   5.9   2.6e-48  162.6   5.9   1.2   1   0   0   1   1   1   1 -
ACT504.07700__CP199221_1498_1654319_1655222_neg -          LysR_substrate       PF03466.25   2.5e-48  162.6   4.3   3.7e-48  162.1   4.3   1.2   1   0   0   1   1   1   1 -
ACT504.00355__CP199221_66_72921_73842_neg       -          LysR_substrate       PF03466.25   2.6e-48  162.6   4.0   3.7e-48  162.1   4.0   1.2   1   0   0   1   1   1   1 -
ACT504.14045__CP199221_2716_3017525_3018464_pos -          LysR_substrate       PF03466.25   3.4e-48  162.2   3.3   3.4e-48  162.2   3.3   1.4   2   0   0   2   2   1   1 -
ACT504.20310__CP199221_3928_4343472_4344387_pos -          LysR_substrate       PF03466.25   7.8e-48  161.1   0.9   7.8e-48  161.1   0.9   1.4   2   0   0   2   2   1   1 -
ACT504.02445__CP199221_477_521054_521972_neg    -          LysR_substrate       PF03466.25   8.5e-48  160.9   1.6   1.2e-47  160.5   1.6   1.2   1   0   0   1   1   1   1 -
ACT504.19120__CP199221_3700_4090205_4091078_neg -          LysR_substrate       PF03466.25   2.3e-46  156.3   1.1   2.3e-46  156.3   1.1   1.7   2   0   0   2   2   2   1 -
ACT504.01130__CP199221_218_233959_234880_neg    -          LysR_substrate       PF03466.25   3.5e-46  155.6   0.1   4.5e-46  155.3   0.1   1.1   1   0   0   1   1   1   1 -
ACT504.15950__CP199221_3085_3436449_3437370_pos -          LysR_substrate       PF03466.25   4.8e-46  155.2   5.5   7.5e-46  154.6   5.5   1.3   1   0   0   1   1   1   1 -
ACT504.22095__CP199221_4271_4699338_4700235_pos -          LysR_substrate       PF03466.25   7.4e-46  154.6   3.3   1.1e-45  154.1   3.3   1.3   1   0   0   1   1   1   1 -
ACT504.08505__CP199221_1655_1815992_1816925_neg -          LysR_substrate       PF03466.25     8e-46  154.5   9.0     1e-45  154.2   9.0   1.1   1   0   0   1   1   1   1 -
ACT504.16805__CP199221_3253_3627889_3628807_pos -          LysR_substrate       PF03466.25   1.3e-45  153.8   9.8   1.3e-45  153.8   9.8   1.7   2   0   0   2   2   2   1 -
ACT504.13410__CP199221_2596_2839904_2840819_neg -          LysR_substrate       PF03466.25   1.4e-45  153.7   0.1     2e-45  153.1   0.1   1.2   1   0   0   1   1   1   1 -
ACT504.13335__CP199221_2581_2821016_2821940_pos -          LysR_substrate       PF03466.25   3.2e-45  152.5   5.9     4e-45  152.2   5.9   1.1   1   0   0   1   1   1   1 -
ACT504.00875__CP199221_170_185221_186160_pos    -          LysR_substrate       PF03466.25   3.7e-45  152.3   3.6   3.7e-45  152.3   3.6   1.4   2   0   0   2   2   1   1 -
