#                                                                                          --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                   accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                           ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ACFZOE.23825__CP171926_4648_5106191_5107097_neg -          HTH_1                PF00126.33   7.6e-28   94.6   0.8   1.8e-27   93.4   0.8   1.7   1   0   0   1   1   1   1 -
ACFZOE.15150__CP171926_2963_3268474_3269362_neg -          HTH_1                PF00126.33   6.8e-27   91.6   2.6   6.8e-27   91.6   2.6   2.2   2   0   0   2   2   1   1 -
ACFZOE.12770__CP171926_2493_2690960_2691833_neg -          HTH_1                PF00126.33   2.1e-25   86.8   2.8     4e-25   85.9   2.8   1.5   1   0   0   1   1   1   1 -
ACFZOE.09195__CP171926_1801_1956781_1957675_neg -          HTH_1                PF00126.33   2.7e-25   86.5   0.9   2.7e-25   86.5   0.9   1.8   2   0   0   2   2   1   1 -
ACFZOE.00160__CP171926_30_34129_35044_pos       -          HTH_1                PF00126.33   5.6e-25   85.5   1.8   9.3e-25   84.8   1.8   1.4   1   0   0   1   1   1   1 -
ACFZOE.05910__CP171926_1154_1254330_1255239_neg -          HTH_1                PF00126.33   1.3e-24   84.3   4.5   2.4e-24   83.4   0.4   3.1   3   0   0   3   3   3   1 -
ACFZOE.18215__CP171926_3565_3925893_3926754_pos -          HTH_1                PF00126.33   1.3e-24   84.3   1.4   1.3e-24   84.3   1.4   2.3   2   0   0   2   2   1   1 -
ACFZOE.00970__CP171926_191_215035_215953_neg    -          HTH_1                PF00126.33   2.4e-24   83.4   0.0   6.2e-24   82.1   0.0   1.7   1   0   0   1   1   1   1 -
ACFZOE.12835__CP171926_2506_2702854_2703733_pos -          HTH_1                PF00126.33   7.9e-24   81.8   0.5   1.9e-23   80.5   0.5   1.7   1   0   0   1   1   1   1 -
ACFZOE.25060__CP171926_4890_5362020_5362935_neg -          HTH_1                PF00126.33   8.5e-24   81.7   2.7   2.4e-23   80.2   2.7   1.8   1   0   0   1   1   1   1 -
ACFZOE.15435__CP171926_3020_3331245_3332166_pos -          HTH_1                PF00126.33   9.8e-24   81.5   1.5   9.8e-24   81.5   1.5   1.9   2   0   0   2   2   1   1 -
ACFZOE.17630__CP171926_3451_3797493_3798375_neg -          HTH_1                PF00126.33     1e-23   81.4   0.6   3.2e-23   79.8   0.6   1.9   1   0   0   1   1   1   1 -
ACFZOE.16770__CP171926_3280_3626370_3627285_pos -          HTH_1                PF00126.33   1.1e-23   81.3   2.1   2.1e-23   80.4   2.1   1.5   1   0   0   1   1   1   1 -
ACFZOE.14030__CP171926_2742_3029850_3030789_pos -          HTH_1                PF00126.33   1.4e-23   81.0   2.7   3.1e-23   79.9   2.7   1.6   1   0   0   1   1   1   1 -
ACFZOE.09185__CP171926_1799_1955320_1956232_pos -          HTH_1                PF00126.33   2.1e-23   80.5   0.4   5.4e-23   79.1   0.4   1.7   1   0   0   1   1   1   1 -
ACFZOE.06840__CP171926_1340_1462050_1462938_neg -          HTH_1                PF00126.33   2.1e-23   80.4   0.5   4.1e-23   79.5   0.5   1.5   1   0   0   1   1   1   1 -
ACFZOE.25465__CP171926_4970_5445696_5446614_neg -          HTH_1                PF00126.33   2.5e-23   80.2   3.2   5.2e-23   79.2   3.2   1.6   1   0   0   1   1   1   1 -
ACFZOE.02650__CP171926_522_576844_577723_neg    -          HTH_1                PF00126.33   3.8e-23   79.6   1.0   3.8e-23   79.6   1.0   2.4   3   0   0   3   3   2   1 -
ACFZOE.18855__CP171926_3692_4046620_4047535_pos -          HTH_1                PF00126.33   4.1e-23   79.5   1.6   1.2e-22   78.1   1.6   1.8   1   0   0   1   1   1   1 -
ACFZOE.04185__CP171926_815_897104_897995_pos    -          HTH_1                PF00126.33   4.7e-23   79.3   2.0   9.5e-23   78.3   2.0   1.5   1   0   0   1   1   1   1 -
ACFZOE.18120__CP171926_3546_3904506_3905415_pos -          HTH_1                PF00126.33   6.8e-23   78.8   2.7   2.3e-22   77.1   2.7   2.0   1   0   0   1   1   1   1 -
ACFZOE.23235__CP171926_4532_4960635_4961574_pos -          HTH_1                PF00126.33   6.8e-23   78.8   4.9   1.3e-22   77.9   4.9   1.5   1   0   0   1   1   1   1 -
ACFZOE.14305__CP171926_2797_3083121_3084033_neg -          HTH_1                PF00126.33   1.2e-22   78.1   3.8   1.9e-22   77.3   3.8   1.4   1   0   0   1   1   1   1 -
ACFZOE.00640__CP171926_125_139514_140423_neg    -          HTH_1                PF00126.33   1.4e-22   77.7   2.0   3.2e-22   76.6   2.0   1.6   1   0   0   1   1   1   1 -
ACFZOE.18625__CP171926_3646_3995466_3996396_pos -          HTH_1                PF00126.33   1.9e-22   77.4   0.6   3.7e-22   76.4   0.6   1.5   1   0   0   1   1   1   1 -
ACFZOE.13075__CP171926_2554_2769159_2770083_pos -          HTH_1                PF00126.33   2.7e-22   76.9   4.3   2.7e-22   76.9   4.3   1.9   2   0   0   2   2   1   1 -
