#                                                                                           --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                    accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                            ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
AAH671.025175__CM130304_4878_5341713_5342640_pos -          LysR_substrate       PF03466.25   6.9e-61  203.8   2.0   1.1e-60  203.1   2.0   1.3   1   0   0   1   1   1   1 -
AAH671.001300__CM130304_251_269564_270500_neg    -          LysR_substrate       PF03466.25   8.1e-56  187.2   3.3   8.1e-56  187.2   3.3   1.4   2   0   0   2   2   1   1 -
AAH671.001575__CM130304_306_329336_330230_pos    -          LysR_substrate       PF03466.25     2e-52  176.1   3.5   2.8e-52  175.7   3.5   1.2   1   0   0   1   1   1   1 -
AAH671.026170__CM130304_5077_5560283_5561171_pos -          LysR_substrate       PF03466.25   1.4e-49  166.9   3.6   1.7e-49  166.6   3.6   1.1   1   0   0   1   1   1   1 -
AAH671.017190__CM130304_3333_3667364_3668303_neg -          LysR_substrate       PF03466.25   1.6e-49  166.7   3.3   1.6e-49  166.7   3.3   1.5   2   0   0   2   2   1   1 -
AAH671.003545__CM130304_690_755207_756113_pos    -          LysR_substrate       PF03466.25   4.1e-49  165.4   2.6   5.5e-49  164.9   2.6   1.2   1   0   0   1   1   1   1 -
AAH671.000340__CM130304_63_72232_73153_neg       -          LysR_substrate       PF03466.25     5e-49  165.1   3.9   7.3e-49  164.5   3.9   1.2   1   0   0   1   1   1   1 -
AAH671.023315__CM130304_4518_4986714_4987608_pos -          LysR_substrate       PF03466.25   1.3e-48  163.7   5.5     2e-48  163.1   5.5   1.2   1   0   0   1   1   1   1 -
AAH671.025360__CM130304_4915_5378942_5379836_pos -          LysR_substrate       PF03466.25   2.6e-48  162.7   4.4   3.8e-48  162.2   4.4   1.2   1   0   0   1   1   1   1 -
AAH671.026350__CM130304_5113_5596746_5597655_pos -          LysR_substrate       PF03466.25     4e-48  162.1   4.4   4.2e-48  162.0   1.3   1.9   2   0   0   2   2   2   1 -
AAH671.030725__CM130304_5968_6515139_6516066_pos -          LysR_substrate       PF03466.25   6.5e-48  161.4   1.2   8.2e-48  161.1   1.2   1.1   1   0   0   1   1   1   1 -
AAH671.011185__CM130304_2164_2386264_2387179_neg -          LysR_substrate       PF03466.25     3e-47  159.2   0.7     3e-47  159.2   0.7   1.4   2   0   0   2   2   1   1 -
AAH671.012260__CM130304_2375_2622601_2623474_pos -          LysR_substrate       PF03466.25   3.5e-47  159.0   0.9   3.5e-47  159.0   0.9   1.7   2   0   0   2   2   2   1 -
AAH671.018620__CM130304_3614_4050094_4051009_pos -          LysR_substrate       PF03466.25   5.5e-47  158.4   6.8   5.5e-47  158.4   6.8   1.5   2   0   0   2   2   1   1 -
AAH671.023400__CM130304_4531_4998774_4999695_neg -          LysR_substrate       PF03466.25     6e-47  158.3   2.0   7.9e-47  157.9   2.0   1.2   1   0   0   1   1   1   1 -
AAH671.015550__CM130304_3020_3316366_3317287_neg -          LysR_substrate       PF03466.25   6.6e-47  158.1   5.3   9.6e-47  157.6   5.3   1.2   1   0   0   1   1   1   1 -
