Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
5	:	1759439903.525	     1.541	0	70	0	0	write_iso_sources /home/share/pa/pa_genomes/refseq/bacteria/GCF_000026645.1
11	:	1759439903.549	     1.536	0	70	0	0	write_iso_sources /home/share/pa/pa_genomes/refseq/bacteria/GCF_000215795.4
1	:	1759439903.508	     1.583	0	70	0	0	write_iso_sources /home/share/pa/pa_genomes/refseq/bacteria/GCF_000014625.1
9	:	1759439903.541	     1.582	0	70	0	0	write_iso_sources /home/share/pa/pa_genomes/refseq/bacteria/GCF_000226155.1
13	:	1759439903.558	     1.566	0	70	0	0	write_iso_sources /home/share/pa/pa_genomes/refseq/bacteria/GCF_000408865.1
26	:	1759439903.622	     1.506	0	70	0	0	write_iso_sources /home/share/pa/pa_genomes/refseq/bacteria/GCF_001045685.1
16	:	1759439903.573	     1.568	0	70	0	0	write_iso_sources /home/share/pa/pa_genomes/refseq/bacteria/GCF_000223965.1
15	:	1759439903.568	     1.605	0	70	0	0	write_iso_sources /home/share/pa/pa_genomes/refseq/bacteria/GCF_000223945.1
10	:	1759439903.545	     1.631	0	70	0	0	write_iso_sources /home/share/pa/pa_genomes/refseq/bacteria/GCF_000215775.4
2	:	1759439903.512	     1.666	0	70	0	0	write_iso_sources /home/share/pa/pa_genomes/refseq/bacteria/GCF_006974045.1
3	:	1759439903.516	     1.664	0	70	0	0	write_iso_sources /home/share/pa/pa_genomes/refseq/bacteria/GCF_000168335.1
30	:	1759439903.643	     1.539	0	70	0	0	write_iso_sources /home/share/pa/pa_genomes/refseq/bacteria/GCF_000247455.1
24	:	1759439903.612	     1.628	0	70	0	0	write_iso_sources /home/share/pa/pa_genomes/refseq/bacteria/GCF_000271365.1
27	:	1759439903.628	     1.618	0	70	0	0	write_iso_sources /home/share/pa/pa_genomes/refseq/bacteria/GCF_900167195.1
47	:	1759439903.777	     1.470	0	70	0	0	write_iso_sources /home/share/pa/pa_genomes/refseq/bacteria/GCF_000271985.2
39	:	1759439903.702	     1.558	0	70	0	0	write_iso_sources /home/share/pa/pa_genomes/refseq/bacteria/GCF_000482005.1
17	:	1759439903.578	     1.723	0	70	0	0	write_iso_sources /home/share/pa/pa_genomes/refseq/bacteria/GCF_000223925.1
20	:	1759439903.592	     1.710	0	70	0	0	write_iso_sources /home/share/pa/pa_genomes/refseq/bacteria/GCF_023500025.1
40	:	1759439903.709	     1.594	0	70	0	0	write_iso_sources /home/share/pa/pa_genomes/refseq/bacteria/GCF_003834455.1
14	:	1759439903.564	     1.762	0	70	0	0	write_iso_sources /home/share/pa/pa_genomes/refseq/bacteria/GCF_902172305.2
